year,location,rainfall,temperature,soil type,humidity,crops,season,pest,outbreak
2004,Mangalore,2903.1,27.0,Alluvial,57.0,Coconut,Kharif,Red Palm Weevil,Medium
2004,Mangalore,2903.1,27.0,Alluvial,57.5,Coconut,Kharif,Red Palm Weevil,Medium
2004,Mangalore,2903.1,27.0,Alluvial,57.0,Coconut,Kharif,Red Palm Weevil,Medium
2004,Mangalore,2996.6,27.0,Alluvial,55.0,Coconut,Kharif,Red Palm Weevil,Medium
2004,Mangalore,2996.6,27.0,Alluvial,56.0,Coconut,Kharif,Red Palm Weevil,Medium
2004,Mangalore,2996.6,27.0,Alluvial,54.0,Coconut,Kharif,Red Palm Weevil,Medium
2004,Mangalore,3522.8,27.2,Alluvial,58.0,Coconut,Kharif,Red Palm Weevil,High
2004,Mangalore,3522.8,27.2,Alluvial,58.0,Coconut,Kharif,Red Palm Weevil,High
2004,Mangalore,3522.8,27.2,Alluvial,59.0,Coconut,Kharif,Red Palm Weevil,High
2004,Mangalore,3729.8,27.0,Alluvial,50.0,Coconut,Kharif,Red Palm Weevil,High
2004,Mangalore,3729.8,27.0,Alluvial,54.0,Coconut,Kharif,Red Palm Weevil,High
2004,Mangalore,3729.8,27.0,Alluvial,53.0,Coconut,Kharif,Red Palm Weevil,High
2004,Mangalore,2746.2,27.0,Alluvial,52.0,Coconut,Kharif,Red Palm Weevil,Medium
2004,Mangalore,2746.2,27.0,Alluvial,51.0,Coconut,Kharif,Red Palm Weevil,Medium
2004,Kodagu,2746.2,27.0,Alluvial,57.0,Coconut,Kharif,Red Palm Weevil,Medium
2004,Kodagu,3360.0,27.2,Alluvial,57.0,Coconut,Kharif,Red Palm Weevil,High
2004,Kodagu,3360.0,27.2,Alluvial,60.0,Coconut,Kharif,Red Palm Weevil,High
2004,Kodagu,3360.0,27.2,Alluvial,57.0,Coconut,Kharif,Red Palm Weevil,High
2004,Kodagu,3605.4,27.1,Alluvial,57.0,Coconut,Kharif,Red Palm Weevil,High
2004,Kodagu,3605.4,27.1,Alluvial,54.0,Coconut,Kharif,Red Palm Weevil,High
2004,Kodagu,3605.4,27.1,Alluvial,54.5,Coconut,Kharif,Red Palm Weevil,High
2004,Kodagu,3512.4,26.8,Alluvial,56.6,Coconut,Kharif,Red Palm Weevil,High
2004,Kodagu,3512.4,26.8,Alluvial,55.5,Coconut,Kharif,Red Palm Weevil,High
2004,Kodagu,3512.4,26.8,Alluvial,58.5,Coconut,Kharif,Red Palm Weevil,High
2004,Kodagu,3296.0,37.0,Alluvial,59.5,Coconut,Kharif,Red Palm Weevil,High
2004,Kodagu,3296.0,37.0,Alluvial,55.0,Coconut,Kharif,Red Palm Weevil,High
2004,Kodagu,3296.0,37.0,Alluvial,53.0,Coconut,Kharif,Red Palm Weevil,High
2004,Kasaragodu,3550.0,38.0,Alluvial,53.5,Coconut,Kharif,Red Palm Weevil,High
2004,Kasaragodu,3550.0,38.0,Alluvial,52.5,Coconut,Kharif,Red Palm Weevil,High
2004,Kasaragodu,3550.0,38.0,Alluvial,56.0,Coconut,Kharif,Red Palm Weevil,High
2004,Kasaragodu,3654.0,39.0,Alluvial,57.0,Coconut,Kharif,Red Palm Weevil,High
2004,Kasaragodu,3654.0,39.0,Alluvial,57.5,Coconut,Kharif,Red Palm Weevil,High
2004,Kasaragodu,3654.0,39.0,Alluvial,57.0,Coconut,Kharif,Red Palm Weevil,High
2004,Kasaragodu,233.0,40.0,Alluvial,55.0,Coconut,Kharif,Red Palm Weevil,Low
2004,Kasaragodu,233.0,40.0,Alluvial,56.0,Coconut,Kharif,Red Palm Weevil,Low
2004,Kasaragodu,233.0,40.0,Alluvial,54.0,Coconut,Kharif,Red Palm Weevil,Low
2004,Kasaragodu,234.0,41.0,Alluvial,58.0,Coconut,Kharif,Red Palm Weevil,Low
2004,Kasaragodu,234.0,41.0,Alluvial,58.0,Coconut,Kharif,Red Palm Weevil,Low
2004,Kasaragodu,234.0,41.0,Alluvial,59.0,Coconut,Kharif,Red Palm Weevil,Low
2004,Kasaragodu,3105.0,42.0,Red,50.0,Coconut,Kharif,Red Palm Weevil,High
2004,Kasaragodu,3105.0,42.0,Red,54.0,Coconut,Kharif,Red Palm Weevil,High
2004,Kasaragodu,3105.0,42.0,Red,53.0,Coconut,Kharif,Red Palm Weevil,High
2004,Raichur,236.0,43.0,Red,52.0,Coconut,Kharif,Red Palm Weevil,Low
2004,Raichur,236.0,43.0,Red,51.0,Coconut,Kharif,Red Palm Weevil,Low
2004,Raichur,2903.1,27.0,Red,57.0,Coconut,Kharif,Red Palm Weevil,Medium
2004,Raichur,2903.1,27.0,Red,57.0,Coconut,Kharif,Red Palm Weevil,Medium
2004,Raichur,2903.1,27.0,Red,60.0,Coconut,Rabi,Red Palm Weevil,Medium
2004,Raichur,2996.6,27.0,Red,57.0,Coconut,Rabi,Red Palm Weevil,Medium
2004,Raichur,2996.6,27.0,Red,57.0,Coconut,Rabi,Red Palm Weevil,Medium
2004,Raichur,2996.6,27.0,Red,54.0,Coconut,Rabi,Red Palm Weevil,Medium
2004,Raichur,3522.8,27.2,Red,54.5,Coconut,Rabi,Red Palm Weevil,High
2004,Raichur,3522.8,27.2,Red,56.6,Coconut,Rabi,Red Palm Weevil,High
2004,Raichur,3522.8,27.2,Red,55.5,Coconut,Rabi,Red Palm Weevil,High
2004,Raichur,3729.8,27.0,Red,58.5,Coconut,Rabi,Red Palm Weevil,High
2004,Raichur,3729.8,27.0,Red,59.5,Coconut,Rabi,Red Palm Weevil,High
2004,Raichur,3729.8,27.0,Red,55.0,Coconut,Rabi,Red Palm Weevil,High
2004,Raichur,2746.2,27.0,Red,53.0,Coconut,Rabi,Red Palm Weevil,Medium
2004,Raichur,2746.2,27.0,Red,53.5,Coconut,Rabi,Red Palm Weevil,Medium
2004,Raichur,2746.2,27.0,Red,52.5,Coconut,Rabi,Red Palm Weevil,Medium
2004,Raichur,3360.0,27.2,Red,56.0,Coconut,Rabi,Red Palm Weevil,High
2004,Raichur,3360.0,27.2,Red,57.0,Coconut,Rabi,Red Palm Weevil,High
2004,Raichur,3360.0,27.2,Red,57.5,Coconut,Rabi,Red Palm Weevil,High
2004,Gulbarga,3605.4,27.1,Red,57.0,Coconut,Rabi,Red Palm Weevil,High
2004,Gulbarga,3605.4,27.1,Red,55.0,Coconut,Rabi,Red Palm Weevil,High
2004,Gulbarga,3605.4,27.1,Red,56.0,Coconut,Rabi,Red Palm Weevil,High
2004,Gulbarga,3512.4,26.8,Red,54.0,Coconut,Rabi,Red Palm Weevil,High
2004,Gulbarga,3512.4,26.8,Red,58.0,Coconut,Rabi,Red Palm Weevil,High
2004,Gulbarga,3512.4,26.8,Red,58.0,Coconut,Rabi,Red Palm Weevil,High
2004,Gulbarga,3296.0,37.0,Red,59.0,Coconut,Rabi,Red Palm Weevil,High
2004,Gulbarga,3296.0,37.0,Black,50.0,Coconut,Rabi,Red Palm Weevil,High
2004,Gulbarga,3296.0,37.0,Black,54.0,Coconut,Rabi,Red Palm Weevil,High
2004,Gulbarga,3550.0,38.0,Black,53.0,Coconut,Rabi,Red Palm Weevil,High
2004,Gulbarga,3550.0,38.0,Black,52.0,Coconut,Rabi,Red Palm Weevil,High
2004,Gulbarga,3550.0,38.0,Black,51.0,Coconut,Rabi,Red Palm Weevil,High
2004,Gulbarga,3654.0,39.0,Black,57.0,Coconut,Rabi,Red Palm Weevil,High
2004,Gulbarga,3654.0,39.0,Black,57.0,Coconut,Rabi,Red Palm Weevil,High
2004,Gulbarga,3654.0,39.0,Black,60.0,Coconut,Rabi,Red Palm Weevil,High
2004,Gulbarga,233.0,40.0,Black,57.0,Coconut,Zaid,Red Palm Weevil,Low
2004,Gulbarga,233.0,40.0,Black,57.0,Coconut,Zaid,Red Palm Weevil,Low
2004,Gulbarga,233.0,40.0,Black,54.0,Coconut,Zaid,Red Palm Weevil,Low
2004,Gulbarga,234.0,41.0,Black,54.5,Coconut,Zaid,Red Palm Weevil,Low
2004,Gulbarga,234.0,41.0,Black,56.6,Coconut,Zaid,Red Palm Weevil,Low
2004,Gulbarga,234.0,41.0,Black,55.5,Coconut,Zaid,Red Palm Weevil,Low
2004,Gulbarga,3105.0,42.0,Black,58.5,Coconut,Zaid,Red Palm Weevil,High
